vgg16 full
FAILED:

FarCryNewDawn 2019-07-03 17-39-06-44.bmp | predicted: hots.np
League of Legends 2019-05-23 16-59-28-16.bmp | predicted: hots.np
League of Legends 2019-05-23 15-17-33-83.bmp | predicted: hots.np
League of Legends 2019-05-23 15-19-43-31 - Copia.bmp | predicted: hots.np
League of Legends 2019-05-23 15-19-43-31.bmp | predicted: hots.np
League of Legends 2019-05-23 15-19-19-86.bmp | predicted: hots.np
League of Legends 2019-06-01 09-52-20-94.bmp | predicted: hots.np
League of Legends 2019-06-01 09-52-10-94.bmp | predicted: hots.np
League of Legends 2019-06-01 09-51-40-95.bmp | predicted: hots.np
League of Legends 2019-05-23 16-58-38-17.bmp | predicted: hots.np
League of Legends 2019-06-01 09-52-00-94.bmp | predicted: hots.np
League of Legends 2019-06-01 09-52-40-95.bmp | predicted: hots.np
League of Legends 2019-05-23 16-59-08-16.bmp | predicted: hots.np
League of Legends 2019-05-23 16-59-38-16.bmp | predicted: hots.np
League of Legends 2019-06-01 09-52-50-94.bmp | predicted: hots.np
League of Legends 2019-06-01 09-53-00-95.bmp | predicted: hots.np
League of Legends 2019-05-23 16-58-58-16.bmp | predicted: hots.np
League of Legends 2019-05-23 15-19-29-86.bmp | predicted: hots.np
R5Apex 2019-06-01 08-45-29-44.bmp | predicted: hots.np
R5Apex 2019-06-01 08-45-49-44.bmp | predicted: hots.np
R5Apex 2019-06-01 08-45-59-44.bmp | predicted: hots.np
OxygenNotIncluded 2019-08-19 13-40-26-67.bmp | predicted: hots.np
OxygenNotIncluded 2019-08-19 14-45-26-67.bmp | predicted: hots.np
OxygenNotIncluded 2019-08-19 14-45-56-67.bmp | predicted: hots.np
OxygenNotIncluded 2019-08-19 13-48-56-66.bmp | predicted: hots.np
OxygenNotIncluded 2019-08-19 13-57-46-67.bmp | predicted: hots.np
OxygenNotIncluded 2019-08-19 14-46-06-67.bmp | predicted: hots.np
OxygenNotIncluded 2019-08-19 14-20-36-67.bmp | predicted: hots.np
OxygenNotIncluded 2019-08-19 13-58-26-68.bmp | predicted: hots.np
OxygenNotIncluded 2019-08-19 13-49-36-66.bmp | predicted: hots.np
OxygenNotIncluded 2019-08-19 14-20-06-67.bmp | predicted: hots.np
OxygenNotIncluded 2019-08-19 13-58-36-66.bmp | predicted: hots.np
OxygenNotIncluded 2019-08-19 13-48-46-66.bmp | predicted: hots.np
OxygenNotIncluded 2019-08-19 13-40-16-67.bmp | predicted: hots.np
OxygenNotIncluded 2019-08-19 14-45-36-67.bmp | predicted: hots.np
OxygenNotIncluded 2019-08-19 13-40-36-67.bmp | predicted: hots.np
OxygenNotIncluded 2019-08-19 13-49-16-66.bmp | predicted: hots.np
OxygenNotIncluded 2019-08-19 14-20-26-67.bmp | predicted: hots.np
OxygenNotIncluded 2019-08-19 14-20-16-67.bmp | predicted: hots.np
OxygenNotIncluded 2019-08-19 13-39-26-66.bmp | predicted: hots.np
OxygenNotIncluded 2019-08-19 14-19-46-67.bmp | predicted: hots.np
OxygenNotIncluded 2019-08-19 13-39-36-66.bmp | predicted: hots.np
OxygenNotIncluded 2019-08-19 13-39-16-66.bmp | predicted: hots.np
OxygenNotIncluded 2019-08-19 14-19-56-67.bmp | predicted: hots.np
OxygenNotIncluded 2019-08-19 13-49-06-66.bmp | predicted: hots.np
OxygenNotIncluded 2019-08-19 13-49-26-66.bmp | predicted: hots.np
Borderlands2 2019-06-09 14-49-31-42.bmp | predicted: hots.np
Borderlands2 2019-06-09 14-49-21-42.bmp | predicted: hots.np
Borderlands-3-create-ora-vostra-build-con-skill-tree-interattivo-gamesoul.jpg | predicted: hots.np
Borderlands2 2019-06-09 14-48-41-42.bmp | predicted: hots.np
Borderlands2 2019-06-09 14-46-21-46.bmp | predicted: hots.np
Borderlands2 2019-06-09 14-48-31-42.bmp | predicted: hots.np
Borderlands2 2019-06-09 14-48-51-42.bmp | predicted: hots.np
Borderlands2 2019-06-09 14-46-31-45.bmp | predicted: hots.np
Borderlands2 2019-06-09 14-47-58-37.bmp | predicted: hots.np
borderlands-2-game-of-the-year-edition-wallpaper-3.jpg | predicted: hots.np
Borderlands2 2019-06-09 14-49-11-42.bmp | predicted: hots.np
Borderlands2 2019-06-09 14-49-01-41.bmp | predicted: hots.np
dota_13_19_14_7.png | predicted: hots.np
dota_12_36_24_7.png | predicted: hots.np
dota_12_46_08_5.png | predicted: hots.np
dota_12_36_00_4.png | predicted: hots.np
dota_13_19_27_7.png | predicted: hots.np
dota_12_46_34_0.png | predicted: hots.np
dota_12_47_00_2.png | predicted: hots.np

----------------------

Ratio: 33.53658536585366%
